a_year,a_ref,a_dcu,a_type,a_veh,a_cas,a_wkday,a_day,a_month,a_hour,a_min,a_gd1,a_gd2,a_lat,a_long,a_ctype,a_speed,a_jdet,a_jcont,a_weat,a_roadsc,a_speccs,a_chaz,a_scene
1998,972634,ARDS,Slight,2,1,FRI,2,1,15,40,350964,376224,54.611656,-5.664099,Single carriageway 1 lane each way,60,Not at or within 20m of junction,Not at junction,Raining with high winds,Wet/damp,None,None,Yes
1998,972650,BELN,Slight,2,1,MON,12,1,16,10,331784,375550,54.610967,-5.96105,Single track,30,Crossroads,Uncontrolled,Fine no high winds,Dry,Road works,None,No
1998,972651,BELS,Slight,2,1,FRI,9,1,7,15,334681,372164,54.579807,-5.917795,Single carriageway 1 lane each way,30,Not at or within 20m of junction,Not at junction,Fine with high winds,Dry,None,None,Yes
1998,972667,CREA,Slight,2,1,MON,5,1,7,40,336275,371956,54.577513,-5.893258,Single carriageway 1 lane each way,30,Not at or within 20m of junction,Not at junction,Fine no high winds,Frost/ice,None,None,No
1998,972670,BELW,Slight,2,1,SUN,11,1,15,0,328359,371119,54.572067,-6.01596,Single carriageway 1 lane each way,30,T junction,Uncontrolled,Fine no high winds,Dry,None,None,No
1998,972794,BMEN,Slight,2,1,THU,8,1,7,15,310706,403102,54.863406,-6.276635,Dual carriageway,30,Multiple junction,Giveway sign/markings,Fine no high winds,Wet/damp,None,None,Yes
1998,972799,MOYL,Slight,2,1,THU,22,1,17,40,311634,441250,55.205704,-6.2473,Single carriageway 1 lane each way,30,Crossroads,Stop sign,Raining no high winds,Wet/damp,None,None,Yes
1998,972831,ANTR,Slight,2,1,FRI,23,1,18,30,318338,385270,54.701562,-6.165107,Single carriageway 1 lane each way,60,Not at or within 20m of junction,Not at junction,Raining no high winds,Wet/damp,None,None,Yes
1998,972853,NDOW,Slight,2,1,TUE,13,1,16,40,350839,381705,54.660889,-5.663212,Single carriageway 1 lane each way,30,T junction,Giveway sign/markings,Fine no high winds,Wet/damp,None,Other object in road,Yes
1998,972873,BELW,Slight,2,1,MON,26,1,17,10,330052,371305,54.573305,-5.989717,Single carriageway 1 lane each way,30,T junction,Stop sign,Fine no high winds,Dry,None,None,No
1998,972997,BELS,Serious,2,1,THU,8,1,8,55,334538,373909,54.59551,-5.919207,Single carriageway 4 lanes,30,T junction,Giveway sign/markings,Raining no high winds,Wet/damp,None,None,Yes
1998,973012,BELN,Slight,2,1,WED,28,1,15,35,333959,378163,54.633853,-5.926217,Single carriageway 1 lane each way,30,T junction,Giveway sign/markings,Fine no high winds,Dry,None,None,Yes
1998,973022,ANTR,Slight,2,1,TUE,3,2,17,20,315130,375751,54.616837,-6.218586,One way,30,T junction,Uncontrolled,Fine no high winds,Wet/damp,None,None,Yes
