"a_year","a_ref","v_id","v_type","v_tow","v_man","v_loc","v_junc","v_skid","v_hit","v_leave","v_hitoff","v_impact","v_sex","v_age","v_hitr"
1998,"972634",2,"Pedal cycle","No towing/artic","Ahead other","On main road","Not at junction","No skid","None","None","None","Front","Male","62","Other"
1998,"972650",1,"Pedal cycle","No towing/artic","Ahead other","Entering main road","Vehicle in middle junction","No skid","None","None","None","Front","Male","6","Other"
1998,"972651",2,"Pedal cycle","No towing/artic","Ahead other","On main road","Not at junction","No skid","Other","None","None","Front","Male","20","Other"
1998,"972667",2,"Pedal cycle","No towing/artic","Left-hand bend","On main road","Not at junction","No skid","None","None","None","Front","Male","70","Other"
1998,"972670",2,"Pedal cycle","No towing/artic","Other/not known","On minor road","Cleared junction or waiting/parked at exit","No skid","None","None","None","Nearside","Male","7","Other"
1998,"972794",2,"Pedal cycle","No towing/artic","Ahead other","On main road","Vehicle in middle junction","No skid","None","None","None","Back","Male","29","Other"
1998,"972799",1,"Pedal cycle","No towing/artic","Ahead other","Entering main road","Vehicle in middle junction","No skid","None","None","None","Front","Male","17","Other"
1998,"972831",2,"Pedal cycle","No towing/artic","U-turn","On main road","Not at junction","No skid","None","None","None","Nearside","Male","25","Other"
1998,"972853",1,"Pedal cycle","No towing/artic","Ahead other","On main road","Vehicle in middle junction","Overturned","Other","None","None","Front","Male","36","Other"
1998,"972873",2,"Pedal cycle","No towing/artic","Overtake nearside","On main road","Cleared junction or waiting/parked at exit","No skid","Open door","None","None","Nearside","Male","45","Other"
1998,"972997",2,"Pedal cycle","No towing/artic","Ahead other","On main road","Vehicle in middle junction","No skid","None","None","None","Front","Male","32","Other"
1998,"973012",2,"Pedal cycle","No towing/artic","Other/not known","On main road","Approaching/waiting/parked at junction","No skid","None","None","None","Nearside","Male","15","Other"
1998,"973022",2,"Pedal cycle","No towing/artic","Other/not known","Entering main road","Vehicle in middle junction","No skid","None","None","None","Front","Male","9","Other"
1998,"973029",1,"Pedal cycle","No towing/artic","Ahead other","On main road","Not at junction","No skid","Roadworks","Road sign/signal","None","Front","Male","18","Other"
1998,"973150",2,"Pedal cycle","No towing/artic","Ahead other","On main road","Not at junction","No skid","None","None","None","Back","Male","62","Other"
1998,"973153",2,"Pedal cycle","No towing/artic","Other/not known","On minor road","Cleared junction or waiting/parked at exit","No skid","None","None","None","Nearside","Male","6","Other"
1998,"973190",2,"Pedal cycle","No towing/artic","Right turn","Entering main road","Vehicle in middle junction","No skid","None","None","None","Front","Male","14","Other"
1998,"973199",2,"Pedal cycle","No towing/artic","Ahead other","Entering main road","Vehicle in middle junction","No skid","None","None","None","Offside","Male","14","Other"
1998,"973227",1,"Pedal cycle","No towing/artic","Overtake stationary offside","On minor road","Not at junction","No skid","Parked vehicle (unlit)","None","None","Front","Male","28","Other"
